Country_ISO,Year,ESG_G_Regulatory_Quality,ESG_G_Rule_of_Law,ESG_G_Political_Stability,ESG_G_Gov_Effectiveness
BTN,2017,-0.1285626,0.6206244,1.1177867,0.4832628
BTN,2018,-0.0472384,0.6674477,1.1151798,0.5384773
BTN,2019,-0.0695533,0.6618686,1.1641113,0.4846393
BTN,2020,-0.0309429,0.6470186,1.1154419,0.4837444
BTN,2021,-0.0451337,0.6782878,0.9391838,0.5963822
BTN,2022,-0.1093578,0.6837835,1.3224382,0.5347986
BTN,2023,-0.109245,0.7200012,1.3322654,0.5353028
BTN,2024,-0.0912943,0.7902665,1.3541153,0.5808357
BOL,2010,-0.8393752,-1.0805326,-0.2159855,-0.3055989
BOL,2011,-0.7999827,-1.0144825,-0.2956719,-0.2672438
BOL,2012,-0.8690743,-1.0969326,-0.3812184,-0.2476484
BOL,2013,-0.8566483,-1.1936901,-0.256508,-0.1627207
BOL,2014,-0.8423377,-1.139505,-0.2978539,-0.3868723
BOL,2015,-0.8213682,-1.2376147,-0.1753279,-0.4320931
BOL,2016,-0.8393587,-1.2512006,-0.2594315,-0.3327318
BOL,2017,-0.8292553,-1.2565518,-0.2207409,-0.313079
BOL,2018,-0.8485465,-1.2847988,-0.1913596,-0.364265
BOL,2019,-0.9755809,-1.2449049,-0.7539613,-0.4578656
BOL,2020,-1.0510123,-1.2021414,-0.3855901,-0.4718419
BOL,2021,-1.117001,-1.1101906,-0.2859636,-0.4784584
BOL,2022,-1.1373515,-1.1775683,-0.1706089,-0.4335715
BOL,2023,-1.1594687,-1.2028195,-0.2898239,-0.4093864
BOL,2024,-1.2544304,-1.267722,-0.5460357,-0.6104172
BIH,2010,-0.2413666,-0.3711756,-0.6337606,-0.7085987
BIH,2011,-0.2715825,-0.4173075,-0.6699284,-0.7322155
BIH,2012,-0.20522,-0.1318904,-0.5906168,-0.5915425
BIH,2013,-0.2013766,-0.1250351,-0.4534621,-0.5381602
BIH,2014,-0.1859247,-0.0894811,-0.0605189,-0.2379292
BIH,2015,-0.2509226,-0.2307844,-0.2551002,-0.4626996
BIH,2016,-0.2439076,-0.2094746,-0.3709896,-0.4139216
BIH,2017,-0.1684447,-0.3294168,-0.3110983,-0.4707049
BIH,2018,-0.3157976,-0.3210995,-0.2895156,-0.6666
BIH,2019,-0.3767077,-0.3905029,-0.3091939,-0.7937191
BIH,2020,-0.3741576,-0.3025925,-0.2690285,-0.7051218
BIH,2021,-0.3797619,-0.3074514,-0.3107016,-0.8403621
BIH,2022,-0.3795221,-0.289741,-0.2480564,-0.7459726
BIH,2023,-0.3476707,-0.3548804,-0.1999229,-0.6453703
BIH,2024,-0.3498489,-0.319134,-0.5010614,-0.6353163
BWA,2010,0.8006087,0.7341617,1.2771925,0.5312259
BWA,2011,0.7899782,0.7466632,1.2314867,0.5431636
BWA,2012,0.8758155,0.7034965,1.2248637,0.5525088
BWA,2013,0.7803101,0.5939995,1.187303,0.5476863
BWA,2014,0.7233534,0.5753426,1.1504977,0.5180867
BWA,2015,0.6069256,0.4252987,1.1318799,0.5694337
BWA,2016,0.6279767,0.3914359,0.9837653,0.5361603
BWA,2017,0.5386963,0.4037409,1.0166207,0.4156169
BWA,2018,0.5568633,0.4031783,0.9948159,0.3467776
BWA,2019,0.4296886,0.4519148,1.1539103,0.4033395
BWA,2020,0.3891703,0.33481,1.0835182,0.310377
BWA,2021,0.459995,0.3719933,1.0572186,0.4025631
BWA,2022,0.4849039,0.3434669,1.0798421,0.4593723
BWA,2023,0.446548,0.3322692,1.0127245,0.5409963
BWA,2024,0.4019336,0.3120842,1.0322942,0.4168893
BRA,2010,0.1900322,-0.0413875,-0.1493446,-0.0076855
BRA,2011,0.1885087,-0.0747892,-0.1721799,-0.0357455
BRA,2012,0.1894102,-0.0446889,-0.0995934,-0.0055523
BRA,2013,0.1300154,-0.134533,-0.3656427,0.1384625
BRA,2014,-0.0364999,-0.1419913,-0.2414052,-0.0203333
BRA,2015,-0.0963302,-0.2252047,-0.4959054,-0.1018264
BRA,2016,-0.0962291,-0.1485678,-0.5263958,-0.1005395
BRA,2017,-0.1063414,-0.2808179,-0.6021338,-0.1049895
BRA,2018,-0.244292,-0.4015041,-0.6451904,-0.2064206
BRA,2019,-0.099421,-0.3861785,-0.7221163,0.0428329
BRA,2020,-0.1518853,-0.3921719,-0.4274216,-0.0873995
BRA,2021,-0.1510718,-0.4091435,-0.3922756,-0.0686134
BRA,2022,-0.1989311,-0.4398335,-0.4157969,-0.2352194
BRA,2023,-0.2359869,-0.4830126,-0.5215741,-0.2666224
